	Original ID	Gene Name in CARD	ARO Replacement
182	gi|759851378|ref|WP_043542908.1|	gi|759851378|ref|WP_043542908.1|	gi|759851378|ref|WP_043542908.1|
183	gi|32345836|gb|AAM97212.1|	gi|32345836|gb|AAM97212.1|	gi|32345836|gb|AAM97212.1|
184	gi|985613534|ref|WP_060853009.1|	gi|985613534|ref|WP_060853009.1|	gi|985613534|ref|WP_060853009.1|
185	gi|489191328|ref|WP_003100686.1|	gi|489191328|ref|WP_003100686.1|	gi|489191328|ref|WP_003100686.1|
186	gi|730303878|ref|WP_033978962.1|	gi|730303878|ref|WP_033978962.1|	gi|730303878|ref|WP_033978962.1|
187	gi|446993875|ref|WP_001071131.1|	gi|446993875|ref|WP_001071131.1|	gi|446993875|ref|WP_001071131.1|
188	AAP46620	AAP46620	AAP46620
189	gi|730479876|ref|WP_034024589.1|	gi|730479876|ref|WP_034024589.1|	gi|730479876|ref|WP_034024589.1|
190	gi|730408915|ref|WP_034009100.1|	gi|730408915|ref|WP_034009100.1|	gi|730408915|ref|WP_034009100.1|
191	gi|959855197|ref|WP_058138287.1|	gi|959855197|ref|WP_058138287.1|	gi|959855197|ref|WP_058138287.1|
192	gi|32345914|gb|AAM97251.1|	gi|32345914|gb|AAM97251.1|	gi|32345914|gb|AAM97251.1|
193	AAP46609	AAP46609	AAP46609
194	gi|852318139|ref|WP_048338017.1|	gi|852318139|ref|WP_048338017.1|	gi|852318139|ref|WP_048338017.1|
195	gi|730307282|ref|WP_033979566.1|	gi|730307282|ref|WP_033979566.1|	gi|730307282|ref|WP_033979566.1|
196	gi|653201367|gb|KEA22378.1|	gi|653201367|gb|KEA22378.1|	gi|653201367|gb|KEA22378.1|
197	gi|599938140|gb|EYI48463.1|	gi|599938140|gb|EYI48463.1|	gi|599938140|gb|EYI48463.1|
198	gi|496671020|ref|WP_009313510.1|	gi|496671020|ref|WP_009313510.1|	gi|496671020|ref|WP_009313510.1|
199	AAP46624	AAP46624	AAP46624
200	CAO91609	CAO91609	CAO91609
201	gi|501021964|ref|WP_012074629.1|	gi|501021964|ref|WP_012074629.1|	gi|501021964|ref|WP_012074629.1|
202	gi|135617|sp|P28816.1|TETD_ECOLX	gi|135617|sp|P28816.1|TETD_ECOLX	gi|135617|sp|P28816.1|TETD_ECOLX
203	ZP_02709163	ZP_02709163	ZP_02709163
204	gi|1042738957|ref|WP_065301739.1|	gi|1042738957|ref|WP_065301739.1|	gi|1042738957|ref|WP_065301739.1|
205	AAP46590	AAP46590	AAP46590
206	gi|959874152|ref|WP_058150234.1|	gi|959874152|ref|WP_058150234.1|	gi|959874152|ref|WP_058150234.1|
207	AAF17264	AAF17264	AAF17264
208	AAF17269	AAF17269	AAF17269
209	gi|959897454|ref|WP_058165306.1|	gi|959897454|ref|WP_058165306.1|	gi|959897454|ref|WP_058165306.1|
210	CAO91624	CAO91624	CAO91624
211	gi|662089495|ref|WP_030048694.1|	gi|662089495|ref|WP_030048694.1|	gi|662089495|ref|WP_030048694.1|
212	gi|730560767|ref|WP_034048018.1|	gi|730560767|ref|WP_034048018.1|	gi|730560767|ref|WP_034048018.1|
213	gi|730296688|ref|WP_033975727.1|	gi|730296688|ref|WP_033975727.1|	gi|730296688|ref|WP_033975727.1|
214	gi|489249810|ref|WP_003157921.1|	gi|489249810|ref|WP_003157921.1|	gi|489249810|ref|WP_003157921.1|
215	gi|763182334|ref|WP_044061366.1|	gi|763182334|ref|WP_044061366.1|	gi|763182334|ref|WP_044061366.1|
216	AAF17267	AAF17267	AAF17267
217	gi|730473147|ref|WP_034023301.1|	gi|730473147|ref|WP_034023301.1|	gi|730473147|ref|WP_034023301.1|
218	ZP_04466634	ZP_04466634	ZP_04466634
219	AAP46595	AAP46595	AAP46595
220	gi|489229602|ref|WP_003137949.1|	gi|489229602|ref|WP_003137949.1|	gi|489229602|ref|WP_003137949.1|
221	gi|32345890|gb|AAM97239.1|	gi|32345890|gb|AAM97239.1|	gi|32345890|gb|AAM97239.1|
222	AAP46576	AAP46576	AAP46576
223	ZP_01834487	ZP_01834487	ZP_01834487
224	gi|640475599|ref|WP_024916072.1|	gi|640475599|ref|WP_024916072.1|	gi|640475599|ref|WP_024916072.1|
225	gi|685891619|ref|WP_031632892.1|	gi|685891619|ref|WP_031632892.1|	gi|685891619|ref|WP_031632892.1|
226	gi|557710037|gb|AHA22063.1|	gi|557710037|gb|AHA22063.1|	gi|557710037|gb|AHA22063.1|
227	gi|518556046|ref|WP_019726253.1|	gi|518556046|ref|WP_019726253.1|	gi|518556046|ref|WP_019726253.1|
228	gi|543874920|gb|AGV64079.1|	gi|543874920|gb|AGV64079.1|	gi|543874920|gb|AGV64079.1|
229	gi|959874184|ref|WP_058150266.1|	gi|959874184|ref|WP_058150266.1|	gi|959874184|ref|WP_058150266.1|
230	gi|489180348|ref|WP_003089829.1|	gi|489180348|ref|WP_003089829.1|	gi|489180348|ref|WP_003089829.1|
231	gi|917566719|ref|WP_052162109.1|	gi|917566719|ref|WP_052162109.1|	gi|917566719|ref|WP_052162109.1|
232	CAO91612	CAO91612	CAO91612
233	AAF17263	AAF17263	AAF17263
234	gi|553764960|ref|WP_023097281.1|	gi|553764960|ref|WP_023097281.1|	gi|553764960|ref|WP_023097281.1|
235	NC_011595.7059912.p01	NC_011595.7059912.p01	NC_011595.7059912.p01
236	BAD67448	BAD67448	BAD67448
237	gi|730400130|ref|WP_034007270.1|	gi|730400130|ref|WP_034007270.1|	gi|730400130|ref|WP_034007270.1|
238	gi|960853123|ref|WP_058332030.1|	gi|960853123|ref|WP_058332030.1|	gi|960853123|ref|WP_058332030.1|
239	EDK10390	EDK10390	EDK10390
240	JN645776.1.gene1.p01	JN645776.1.gene1.p01	JN645776.1.gene1.p01
241	gi|32345880|gb|AAM97234.1|	gi|32345880|gb|AAM97234.1|	gi|32345880|gb|AAM97234.1|
242	gi|730321347|ref|WP_033984356.1|	gi|730321347|ref|WP_033984356.1|	gi|730321347|ref|WP_033984356.1|
243	gi|976151217|ref|WP_059309422.1|	gi|976151217|ref|WP_059309422.1|	gi|976151217|ref|WP_059309422.1|
244	gi|254966944|gb|ACT97499.1|	gi|254966944|gb|ACT97499.1|	gi|254966944|gb|ACT97499.1|
245	JN645706.1.gene1.p01	JN645706.1.gene1.p01	JN645706.1.gene1.p01
246	gi|738462527|ref|WP_036413340.1|	gi|738462527|ref|WP_036413340.1|	gi|738462527|ref|WP_036413340.1|
247	gi|685977029|ref|WP_031685846.1|	gi|685977029|ref|WP_031685846.1|	gi|685977029|ref|WP_031685846.1|
248	AAP46598	AAP46598	AAP46598
249	CAO91629	CAO91629	CAO91629
250	gi|960883644|ref|WP_058354899.1|	gi|960883644|ref|WP_058354899.1|	gi|960883644|ref|WP_058354899.1|
251	YP_001292390	YP_001292390	YP_001292390
252	AAP46591	AAP46591	AAP46591
253	AAP46607	AAP46607	AAP46607
254	gi|490841007|ref|WP_004703082.1|	gi|490841007|ref|WP_004703082.1|	gi|490841007|ref|WP_004703082.1|
255	AAP46584	AAP46584	AAP46584
256	gi|32345884|gb|AAM97236.1|	gi|32345884|gb|AAM97236.1|	gi|32345884|gb|AAM97236.1|
257	AAF17270	AAF17270	AAF17270
258	gi|746819953|ref|WP_039699719.1|	gi|746819953|ref|WP_039699719.1|	gi|746819953|ref|WP_039699719.1|
259	AAP46621	AAP46621	AAP46621
260	gi|486147411|ref|WP_001517796.1|	gi|486147411|ref|WP_001517796.1|	gi|486147411|ref|WP_001517796.1|
261	AAF17266	AAF17266	AAF17266
262	gi|510932763|ref|WP_016253089.1|	gi|510932763|ref|WP_016253089.1|	gi|510932763|ref|WP_016253089.1|
263	ZP_04464540	ZP_04464540	ZP_04464540
264	AAP46578	AAP46578	AAP46578
265	AAP46610	AAP46610	AAP46610
266	gi|489208567|ref|WP_003117466.1|	gi|489208567|ref|WP_003117466.1|	gi|489208567|ref|WP_003117466.1|
267	gi|959902495|ref|WP_058168418.1|	gi|959902495|ref|WP_058168418.1|	gi|959902495|ref|WP_058168418.1|
268	gi|730235894|ref|WP_033940844.1|	gi|730235894|ref|WP_033940844.1|	gi|730235894|ref|WP_033940844.1|
269	NC_002516.2.880417.p01	NC_002516.2.880417.p01	NC_002516.2.880417.p01
